start_date,end_date,start_time,end_time,Open,High,Low,Close,Volume,dollar
2015-02-17,2015-02-17,9:54:38.621,9:57:23.626,127.5999,127.82,127.53,127.7,786822,100710895.57260157
2015-02-17,2015-02-17,9:57:23.655,10:01:05.329,127.7,127.779,127.58,127.605,777844,100033660.83250155
2015-02-17,2015-02-17,10:01:05.359,10:05:06.604,127.66,127.86,127.605,127.831,782505,100020671.32210147
2015-02-17,2015-02-17,10:05:06.605,10:08:20.697,127.831,127.99,127.83,127.969,781554,100011535.1991013
2015-02-17,2015-02-17,10:08:21.039,10:10:12.476,127.97,128.14,127.96,128.14,780933,100012297.32750134
2015-02-17,2015-02-17,10:10:12.476,10:12:43.858,128.14,128.31,128.11,128.2999,780504,100072755.72770135
2015-02-17,2015-02-17,10:12:43.864,10:14:57.934,128.2999,128.39,128.0425,128.35,779155,100044803.89580144
2015-02-17,2015-02-17,10:14:57.934,10:17:33.867,128.37,128.44,128.18,128.19,779816,100125555.98540144
2015-02-17,2015-02-17,10:17:33.867,10:21:43.355,128.19,128.37,128.08,128.29,778997,100007681.5827013
2015-02-17,2015-02-17,10:21:43.355,10:26:58.499,128.29,128.3799,128.11,128.28,779831,100002387.06880134
2015-02-17,2015-02-17,10:26:58.500,10:30:11.292,128.28,128.46,128.2224,128.4399,778899,100001838.50450133
2015-02-17,2015-02-17,10:30:11.293,10:32:52.199,128.4399,128.62,128.4399,128.61,778085,100010074.54810102
2015-02-17,2015-02-17,10:32:52.199,10:36:39.027,128.61,128.7,128.51,128.7,781802,100540150.73480092
2015-02-17,2015-02-17,10:36:39.027,10:41:34.863,128.7,128.71,128.4497,128.64,773165,100000884.30090114
2015-02-17,2015-02-17,10:41:34.863,10:45:30.952,128.64,128.82,128.6,128.77,777443,100085525.87680106
2015-02-17,2015-02-17,10:45:31.066,10:49:23.614,128.81,128.81,128.66,128.709,776131,100005562.7214011
2015-02-17,2015-02-17,10:49:23.615,10:53:30.994,128.709,128.88,128.7,128.719,776863,100062339.69330111
2015-02-17,2015-02-17,10:53:31.569,10:57:10.661,128.73,128.77,128.499,128.66,777494,100058980.69400132
2015-02-17,2015-02-17,10:57:10.673,11:02:27.406,128.65,128.69,128.5,128.5,777245,100005028.56850144
2015-02-17,2015-02-17,11:02:27.406,11:05:40.742,128.5,128.7577,128.3,128.35,778756,100030520.55870163
2015-02-17,2015-02-17,11:05:40.742,11:08:52.074,128.35,128.4763,128.13,128.2399,779719,100021803.51670168
2015-02-17,2015-02-17,11:08:52.075,11:12:17.733,128.229,128.4814,128.19,128.28,779541,100011368.93140163
2015-02-17,2015-02-17,11:12:18.164,11:18:02.751,128.2701,128.28,128.03,128.15,780428,100027821.04310158
2015-02-17,2015-02-17,11:18:02.752,11:21:37.585,128.15,128.36,128.06,128.25,781387,100210126.5090015
2015-02-17,2015-02-17,11:21:37.590,11:27:01.110,128.245,128.48,128.24,128.374,779155,100249527.42860162
2015-02-17,2015-02-17,11:27:01.110,11:33:54.655,128.379,128.57,128.2771,128.39,778941,100323163.17020169
2015-02-17,2015-02-17,11:33:55.366,11:43:10.912,128.4,128.52,128.0241,128.27,776622,100023026.3817018
2015-02-17,2015-02-17,11:43:10.912,11:52:25.753,128.27,128.426,128.17,128.34,779037,100001405.59860173
2015-02-17,2015-02-17,11:52:26.101,11:59:35.034,128.34,128.5,128.25,128.43,778889,100008292.3330018
2015-02-17,2015-02-17,11:59:35.034,12:09:54.310,128.43,128.49,128.37,128.405,778593,100007819.17850178
2015-02-17,2015-02-17,12:09:54.312,12:17:03.817,128.405,128.41,128.13,128.2,779694,100005055.13400184
2015-02-17,2015-02-17,12:17:03.817,12:20:43.182,128.2,128.21,127.9,127.9,781112,100023737.91120182
2015-02-17,2015-02-17,12:20:43.182,12:26:12.724,127.9,128.08,127.89,128.0561,781167,100002740.80910161
